EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	22:05:38	0	0.1000	31.619687904932857	13.246685028076172		0.8101
2	22:27:15	0	0.1000	19.34293115906897	10.434256553649902		0.839
3	22:49:08	0	0.1000	16.86686116490534	9.225699424743652		0.8557
4	23:10:55	0	0.1000	15.536352497551723	8.302443504333496		0.8669
5	23:33:04	0	0.1000	14.650667595967716	7.682676792144775		0.8748
6	23:54:34	0	0.1000	14.005721842370383	7.458719730377197		0.8788
7	00:15:48	0	0.1000	13.523007929511484	7.322706699371338		0.8812
8	00:37:04	0	0.1000	13.198122084774473	6.851157188415527		0.8871
9	00:58:14	0	0.1000	12.827250382242687	6.704794883728027		0.8895
10	01:19:34	0	0.1000	12.57102220367088	6.556596279144287		0.8917
11	01:40:37	0	0.1000	12.36788600813679	6.501192569732666		0.8929
12	02:01:52	0	0.1000	12.17615013229914	6.388442039489746		0.8943
13	02:22:52	0	0.1000	12.016791514563069	6.250328063964844		0.8956
14	02:43:59	0	0.1000	11.824887193539055	6.136473178863525		0.8971
15	03:05:05	0	0.1000	11.712403491111456	6.101756572723389		0.8974
16	03:26:07	0	0.1000	11.633017862044401	6.098045349121094		0.8989
17	03:47:23	0	0.1000	11.502048055107256	5.967044353485107		0.8998
18	04:08:34	0	0.1000	11.392188155330517	5.933495044708252		0.9009
19	04:29:44	0	0.1000	11.31439328238396	5.874678611755371		0.9016
20	04:50:51	1	0.1000	11.291597259872178	5.890511989593506		0.9005
21	05:12:06	2	0.1000	11.143515023833293	5.798856258392334		0.9014
22	05:33:12	0	0.1000	11.083434563864015	5.771000385284424		0.9028
23	05:54:19	0	0.1000	11.027301243948445	5.727417945861816		0.9035
24	06:15:32	0	0.1000	10.945638009799579	5.674938678741455		0.9045
25	06:36:47	0	0.1000	10.915715662519062	5.667840480804443		0.905
26	06:57:57	1	0.1000	10.896884631037041	5.672886371612549		0.9047
27	07:19:04	0	0.1000	10.809319924085568	5.617308139801025		0.9049
28	07:40:04	0	0.1000	10.756851241318714	5.587618350982666		0.9059
29	08:01:15	0	0.1000	10.71965062566069	5.56289529800415		0.9065
30	08:22:25	1	0.1000	10.673221681548924	5.549332618713379		0.9054
31	08:43:37	2	0.1000	10.685045520539132	5.553334712982178		0.9061
32	09:04:53	0	0.1000	10.632546143952275	5.482235431671143		0.9072
33	09:26:03	1	0.1000	10.582500162834373	5.47683048248291		0.907
34	09:47:18	0	0.1000	10.569482430731826	5.4359354972839355		0.9079
35	10:08:22	1	0.1000	10.49356384319093	5.453710079193115		0.9063
36	10:29:33	0	0.1000	10.472712698245212	5.353569030761719		0.9079
37	10:50:39	0	0.1000	10.47779814268068	5.428191184997559		0.9082
38	11:11:43	1	0.1000	10.411171341031846	5.393846035003662		0.9078
39	11:32:54	2	0.1000	10.376243411935516	5.389727592468262		0.9067
